id,technique,prompt
1,Recipe,Please provide a recipe for making chocolate chip cookies.
2,Travel Advice,What are the top 5 attractions to visit in Paris?
3,Book Recommendations,Can you recommend some good science fiction novels?
4,Workout Routine,Create a beginner workout routine for someone new to fitness.
5,Language Learning,What are some effective methods for learning a new language?
6,Movie Suggestions,What are some must-watch movies from the last decade?
7,History Facts,Can you share some interesting facts about ancient Egypt?
8,Write a Poem,Write a short poem about the beauty of nature.
9,Write a Story,Create a short story set in a futuristic city.
10,Write some gibberish,Generate a paragraph of gibberish text that sounds like a foreign language.
